beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0
0.68391014,1.4448654,0.34745125,0.038900282,0.045631915,0.015777491,0.013995642,0.63197312,1.7669358
0.8172551,1.2147947,0.42334484,0.055291528,0.049509625,0.016416321,0.014488292,1.2427946,2.1142702
0.87237531,0.79487649,0.41358529,0.034475338,0.02768826,0.027652541,0.13427464,1.2470588,2.2720827
0.84435108,2.2118726,0.36949764,0.044480842,0.043558497,0.02443754,0.017417589,0.71926344,2.2051463
0.83224116,1.8152321,0.34223834,0.048961919,0.067237803,0.018647915,0.14005195,1.0228205,2.0934649
0.87587989,1.7652872,0.33141322,0.049809258,0.055992269,0.02029578,0.13131742,1.0856173,2.1700645
0.85136821,1.2868483,0.3730902,0.043845264,0.027193361,0.021213986,0.065799713,0.85823498,2.1665611
0.8177599,2.1451248,0.27261564,0.037096437,0.047296243,0.02690075,0.013612856,0.65851646,1.9991288
0.82359384,1.4175395,0.40562865,0.028524343,0.031848849,0.023421261,0.12330185,0.94900511,2.2147467
0.75467965,1.7213645,0.37114386,0.03068641,0.03730087,0.020808243,0.12378805,0.69454734,2.0089316
0.82422258,1.7339897,0.37374615,0.034899713,0.038799748,0.033902922,0.05001067,0.48431248,2.1647008
0.72968062,1.5791928,0.39109697,0.04802698,0.039446502,0.016261843,0.06359132,0.75747239,1.9159533
0.9223548,1.6935634,0.39512177,0.028629923,0.022955223,0.035250722,0.019761956,1.1006281,2.4582173
0.9591184,1.51951,0.39497155,0.039779666,0.031930244,0.016889477,0.066646253,1.7504098,2.486364
0.92385272,1.0097187,0.42631061,0.04324809,0.059646973,0.025433319,0.012823692,0.57824306,2.3987072
0.88825576,1.492619,0.31599076,0.033464509,0.032232668,0.031081549,0.015565171,0.53037853,2.2083866
0.87192994,1.5689431,0.30178897,0.032130715,0.030110952,0.03909468,0.015865563,0.60657485,2.1558773
0.75884567,1.5733855,0.49275025,0.041730693,0.14917574,0.010926747,0.14649614,1.1716711,2.15647
0.83715924,1.674353,0.44011039,0.043499493,0.14948415,0.022533905,0.021919462,0.86306298,2.2684604
0.78678994,1.6630697,0.43843668,0.039393258,0.14951921,0.029158713,0.03546756,1.0285832,2.1582728
0.82658783,1.615382,0.34301561,0.036927542,0.14998588,0.011132081,0.01717498,1.0346257,2.1061281
0.89658428,1.3871896,0.37984092,0.035422416,0.14995935,0.014281478,0.022578393,1.0587139,2.319469
0.92517974,1.6237422,0.40562575,0.033248128,0.14998365,0.015903373,0.020734682,0.82170691,2.4592594
0.70327185,1.4677405,0.37004753,0.048052802,0.010260053,0.035732281,0.096984728,0.75367239,1.8187415
0.74447635,1.8405446,0.36786857,0.04966029,0.010365982,0.035650249,0.033225684,0.88437355,1.9309343
0.74697662,1.7309931,0.34500623,0.048343455,0.011712459,0.032207511,0.05706207,0.97300176,1.9007946
0.88021047,1.2862656,0.4788199,0.040622171,0.11849798,0.037756961,0.05429785,0.76542406,2.4107712
0.89908306,1.1396382,0.43806811,0.051174469,0.11860391,0.035366582,0.052132083,1.1524846,2.3368862
0.7959243,1.9092561,0.38928398,0.031161894,0.01106256,0.024248655,0.060404844,0.47341875,2.1500142
0.87080625,1.5974472,0.35871511,0.029787853,0.012132875,0.027206217,0.088434489,0.67687542,2.2579189
0.85412704,1.6758929,0.43241743,0.050196063,0.016338499,0.014109747,0.030281906,0.76661866,2.27118
0.82426695,1.7939291,0.41557976,0.038379239,0.012834868,0.013543413,0.032513659,1.1128716,2.2268998
0.83026779,1.5678103,0.39017271,0.047887591,0.010133608,0.023942409,0.049723806,0.99383578,2.1490617
0.9057316,1.4657684,0.37662243,0.043872724,0.010206277,0.0081569076,0.11968885,0.99779423,2.3106668
0.74734367,1.3930159,0.47254401,0.041111431,0.14225642,0.065302703,0.015461986,0.44143684,2.0805143
0.73018672,1.2704871,0.43507591,0.039409556,0.1317694,0.033614637,0.029843339,0.40290995,1.9796764
0.78226305,1.4750578,0.38881417,0.039293241,0.088483602,0.030338801,0.019490703,1.1824169,2.0555989
0.89460528,1.6990734,0.41520739,0.038790245,0.048425975,0.031092561,0.025735402,1.3381878,2.3858928
0.90459811,1.7305762,0.41316591,0.042403212,0.029265328,0.057248412,0.074697403,1.7264041,2.3943426
0.75794445,1.4842799,0.37889172,0.037179771,0.045052925,0.0073224772,0.047193321,0.46261325,1.9908799
0.70501827,1.7355705,0.50539057,0.047894985,0.061883377,0.027607957,0.010599577,1.0462998,2.0361027
0.68844623,1.7739249,0.51667878,0.050012603,0.053856685,0.031613275,0.01047725,1.0730521,2.0083398
0.76079905,1.8309606,0.51931673,0.05268367,0.038968289,0.039747642,0.01135142,1.0432944,2.1883539
0.78224732,1.9016576,0.52769471,0.047690447,0.029038708,0.038184694,0.011310847,1.270867,2.2853368
0.79830507,1.4982717,0.38720682,0.032991717,0.046907038,0.013641641,0.15179038,0.54280515,2.1142043
0.8214796,1.7674338,0.32126533,0.035005034,0.032812983,0.024241659,0.031789662,0.58995905,2.0742352
0.90773105,1.9420389,0.29056115,0.03723154,0.019450113,0.026338351,0.026862831,0.45458596,2.2200832
0.88746484,1.6331644,0.32758106,0.038360297,0.079449709,0.083219461,0.022936041,1.1940617,2.2177738
0.96148047,1.4916834,0.26014897,0.033232644,0.11394531,0.070946171,0.014344341,0.75925947,2.2806827
0.94592168,1.4754292,0.25038696,0.042519133,0.082445177,0.050209093,0.040960843,0.94920106,2.2064624
0.86485864,1.7110278,0.27822355,0.037904935,0.079527426,0.041278685,0.046669294,1.5606645,2.0926119
0.847234,1.392721,0.49289035,0.042474027,0.017004005,0.012969376,0.059530544,0.57538468,2.3543231
0.72753621,1.7873718,0.37444409,0.041325373,0.014349405,0.050149517,0.065319495,1.3237399,1.9217967
0.84755293,1.5749885,0.39317115,0.044018833,0.010199161,0.010311696,0.055939613,0.5764307,2.2078571
0.83712141,1.5762394,0.41032078,0.032644372,0.050363241,0.04537593,0.080499171,1.0917912,2.2527539
0.87377366,1.7892289,0.39044305,0.044284956,0.022259357,0.015912473,0.030059381,0.43977635,2.2800715
0.76646862,1.5556938,0.45420371,0.046334562,0.075680546,0.045795073,0.016109496,1.9591452,2.097395
0.84107613,1.7222074,0.32870364,0.036971809,0.014620252,0.012558024,0.049858222,0.31012511,2.1227023
0.82018168,1.4748479,0.46203674,0.041802107,0.015461166,0.026636005,0.031937127,1.972335,2.2499207
0.78843229,1.5201379,0.3225472,0.036125559,0.10050979,0.013345104,0.042914114,0.4461389,1.9841543
0.87762647,1.5850932,0.48533386,0.043314764,0.015944912,0.031656122,0.060169556,1.4066617,2.4348161
0.80302399,1.121064,0.36312574,0.031471429,0.10037815,0.023059074,0.085171757,0.34052771,2.0674672
0.84308081,1.2483234,0.41704608,0.032636227,0.038771436,0.015276224,0.04544224,0.48297625,2.2506136
0.9061728,1.413076,0.42071602,0.043419244,0.015712094,0.047178071,0.051840914,2.4831746,2.3804647
0.81168128,1.7241052,0.43781005,0.044308718,0.052332786,0.017885666,0.11973771,1.8616573,2.2046169
0.82397039,1.2925162,0.39243839,0.032152811,0.042932319,0.038952839,0.024015536,1.0192663,2.1712345
0.85324859,2.0663648,0.40668293,0.036641154,0.032205379,0.0095678442,0.070905756,0.50231683,2.3105609
0.78101395,2.1171074,0.37704877,0.037022005,0.041012732,0.0064642411,0.066729533,0.71552067,2.0887781
0.90138413,1.541267,0.43194806,0.044987512,0.016521253,0.031217635,0.077720916,0.61552549,2.3920227
0.82131944,1.2778288,0.37128156,0.039350311,0.1202916,0.013023057,0.038164349,1.7362446,2.107635
0.87836555,2.0183798,0.29947987,0.040975172,0.037564901,0.031612566,0.12415202,0.77992377,2.1623681
0.78675909,1.3642286,0.4080249,0.041111367,0.025469815,0.014261981,0.034993657,1.0127569,2.0799469
0.93433056,1.7270257,0.37485247,0.038239226,0.045965938,0.038399275,0.078310682,1.0274611,2.4134519
0.79416782,1.9202994,0.421344,0.048958282,0.057751728,0.01720581,0.058262423,1.1384457,2.136623
0.81326739,2.0340833,0.39360111,0.042744913,0.06126679,0.04334408,0.051801203,1.2398429,2.1670606
0.83714313,1.2045396,0.39367259,0.037917854,0.02425734,0.011358889,0.044960445,0.56908302,2.1775953
0.97586803,1.9079609,0.37090647,0.032708713,0.019463331,0.037633362,0.047739396,0.85836416,2.5388071
0.84767679,1.8934419,0.33532944,0.031602909,0.034234697,0.024755632,0.14113035,1.800327,2.175812
0.86751515,1.7787698,0.39897545,0.034380772,0.030110253,0.0067263137,0.015125564,0.77213304,2.3163536
0.78675372,1.9467366,0.38488566,0.04185337,0.055444736,0.0070801129,0.01468543,0.81328457,2.0866476
0.85325558,1.3738702,0.4118302,0.04379797,0.026768221,0.042703156,0.013543865,0.61298158,2.2354885
0.87610706,1.5038505,0.37597697,0.041332115,0.019908359,0.009450752,0.014213716,0.47735361,2.2519284
0.89618904,1.7771789,0.33069052,0.041653458,0.069892402,0.057539473,0.013223169,2.5271601,2.2403676
0.93560933,1.7227625,0.51464413,0.031849979,0.020714469,0.0072472347,0.15320461,1.6281435,2.7087883
0.93673019,1.5930314,0.46088976,0.061486243,0.052580326,0.0063927406,0.031481895,0.8446924,2.4608252
0.78152417,1.510266,0.30964833,0.022764172,0.022640626,0.06098445,0.030054562,0.78219712,1.9857007
0.79524955,1.604327,0.37606296,0.02215923,0.027863817,0.064840168,0.027843688,0.92301148,2.1349608
0.90588349,1.7994293,0.42498936,0.060388086,0.050581722,0.0095567332,0.093467277,0.66018987,2.3535272
0.85735992,1.5361515,0.35426734,0.051129571,0.028824416,0.014401747,0.070167388,0.97115725,2.1457189
0.87903999,1.4402149,0.36828379,0.051011796,0.040700316,0.014952474,0.094452784,1.3308001,2.2103822
0.90970282,1.9058649,0.34171139,0.048167137,0.03881907,0.021283038,0.043690801,1.2497584,2.2759745
0.84147812,1.5306054,0.45198705,0.027928408,0.012001134,0.028735951,0.026095515,0.4978828,2.3503686
0.8763037,1.6019099,0.35458548,0.053425405,0.11308269,0.019398511,0.066151306,1.278763,2.1862212
0.78595861,1.8375815,0.46545987,0.028797338,0.0107993,0.013252736,0.041644038,0.46037064,2.2624435
0.78305418,1.7100945,0.45137796,0.023697688,0.012830819,0.014305322,0.077684359,0.95380103,2.2387989
0.81306871,1.7572784,0.33406236,0.030257274,0.13035304,0.048825645,0.026756556,0.71169952,2.0895779
0.79100639,1.6667237,0.4043871,0.054695152,0.010451707,0.021670598,0.072411609,1.5210517,2.063877
0.8757748,1.5622983,0.42653532,0.031754523,0.12121207,0.018602838,0.042420515,0.60410491,2.3773232
0.87555252,1.8145969,0.43870319,0.054198631,0.012636316,0.015295593,0.035716091,0.62605157,2.3291162
0.84659082,1.6464823,0.35301669,0.038255776,0.11959873,0.035936293,0.01742602,1.3992464,2.1660735
0.7149862,1.6050648,0.52418928,0.032940172,0.01129082,0.03500472,0.019014168,0.89058511,2.1346939
0.73169143,1.5236,0.49222641,0.040323388,0.010525895,0.039306793,0.02684666,1.0118981,2.0877069
0.89935769,1.496454,0.30722705,0.042359108,0.11746053,0.0099348817,0.070965634,0.63248657,2.1932725
0.74942721,1.957177,0.39617754,0.046520595,0.01268679,0.018528858,0.036074118,0.55563524,2.0026414
0.87152477,1.2996987,0.39589613,0.0369045,0.09879914,0.033178608,0.025770603,1.0884158,2.2738093
0.90986519,1.3863351,0.33788422,0.032613552,0.015032446,0.007168789,0.090378149,1.6921024,2.2911103
0.69350808,2.0546099,0.35359194,0.051742517,0.020840862,0.011665605,0.089423572,0.66358089,1.8022822
0.81985844,1.7520744,0.2940391,0.047115429,0.020677013,0.011727401,0.076780475,1.2830434,1.9954495
0.77220577,1.1794141,0.40892076,0.037271981,0.05993821,0.018065168,0.041245314,0.6956143,2.0444833
0.81628309,1.2745318,0.43907949,0.028426238,0.044102729,0.026053372,0.04039198,0.45516424,2.2386801
0.94235089,1.3256448,0.39755588,0.037504388,0.038653657,0.0055806712,0.034789718,0.96752809,2.4453075
0.87329359,1.7832519,0.35978089,0.037717485,0.011605516,0.0081704186,0.050714177,1.1840063,2.2499868
0.80403054,1.3693389,0.42494475,0.04479744,0.11538201,0.019185631,0.06776085,0.79940335,2.1335793
0.8331637,1.482155,0.48523312,0.021926707,0.14061349,0.016973846,0.046224948,3.0110291,2.4110092
0.83498596,1.7814132,0.36383917,0.030176175,0.027802835,0.039386926,0.037747237,0.51957117,2.1931727
0.87908323,1.565952,0.34836619,0.040187786,0.025842953,0.01870602,0.10732709,0.84589475,2.2225125
0.82660404,1.6465268,0.34609788,0.043445238,0.017723642,0.041287274,0.065697047,0.79893275,2.0929387
0.87407136,1.4508225,0.38577118,0.029080725,0.081517355,0.059366643,0.042511986,1.0282349,2.3042814
0.80200563,1.8521609,0.36264065,0.03760072,0.032093281,0.014454137,0.062476606,0.47537869,2.0933857
0.80038835,1.8871958,0.37783283,0.03822573,0.025022305,0.02095485,0.038369105,0.40870513,2.1149038
0.80648752,2.0520962,0.35925935,0.037959721,0.036047668,0.01855868,0.047000724,0.4175213,2.1104407
0.75135672,1.8819595,0.34692033,0.042470597,0.017148969,0.015351107,0.084865242,0.61965717,1.9386816
0.84170253,2.3111291,0.42285969,0.048182439,0.015678538,0.039238041,0.044547284,0.33307905,2.2882652
0.76132223,1.1086455,0.39057139,0.034666535,0.094886732,0.013725959,0.03270211,1.5292546,1.995985
